Name,SCCS,Coder,ID1.1Over,ID1.2Ethno,Int2.1Mar,Int2.2Econ,Int2.3Pol,Int2.4Hist,Dep3.1Sec,Dep3.2Ecol,Dep3.3Econ,NWVal4.1,WVal4.2,NWNorm5.1,WNorm5.2,MythsP6,MythsWar6,RitP6,RitWar6,SymP6,SymWar6,SuperOrd7,CM8.1Neg,CM8.2Med,CM8.3Arb,CM8.4Adj,CM8.5Peace,CM8.6War,Lead9.1P,Lead9.2War,Cult10.1Com,Cult10.2Diff,Comp10.3,InComp10.4,PSys,PSysRec,ID1.1Over_1,ID1.2Ethno_1,Int2.1Mar_1,Int2.2Econ_1,Int2.3Pol_1,Int2.4Hist_1,Dep3.1Sec_1,Dep3.2Ecol_1,Dep3.3Econ_1,NWVal4.1_1,WVal4.2_1,NWNorm5.1_1,WNorm5.2_1,MythsP6_1,MythsWar6_1,RitP6_1,RitWar6_1,SymP6_1,SymWar6_1,SuperOrd7_1,CM8.1Neg_1,CM8.2Med_1,CM8.3Arb_1,CM8.4Adj_1,CM8.5Peace_1,CM8.6War_1,Lead9.1P_1,Lead9.2War_1,COMinter,COMdep,COMnvvn,COMmrs,COMcm,COMwvn,COMwmrs,COMinterM,COMdepM,COMnvvnM,COMmrsM,COMcmM,COMwvnM,COMwmrsM
Gilbertese,107,KA,9,2,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.532258065,2,3,2.984375,2.391304348,2.913043478,2.5,2.5,2.689655172,3.171875,2.763888889,3.083333333,2.451612903,2.523809524,2.21875,2.565217391,2.545454545,2.923076923,2.325,2.625,2.842105263,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,9,9,9,9,9,2.822180707,2.563218391,3.127604167,2.670701279,2.627706767,2.607750896,2.363068182
Marshallese,108,EC,1,9,9,1,9,9,9,9,3,4,3,9,9,9,9,2,9,2,2,9,2,9,9,9,9,2,9,4,9,9,9,9,2,0,1,2.6,2.428571429,1,2.391304348,2.913043478,2.5,2.5,3,4,3,3.083333333,2.451612903,2.523809524,2.21875,2,2.545454545,2,2,2.625,2,2.875,2.142857143,2.178571429,3.1,2,2.764705882,4,9,9,9,9,9,9,9,2.183229814,2.666666667,3.541666667,2.174603175,2.459285714,2.725806452,2.254734848
E. Pomo,135,"KA, EC",9,9,9,9,9,9,1,1,1,2.5,3,9,2,9,9,9,4,9,2.5,9,3,9,1,9,9,9,2,9,9,9,9,9,2,0,2.532258065,2.6,2.428571429,2.984375,2.391304348,2.913043478,1,1,1,2.5,3,3.083333333,2,2.523809524,2.21875,2.565217391,4,2.923076923,2.5,2.625,3,2.875,1,2.178571429,3.1,1.5,2,2.9375,9,1,9,9,9,2.5,9,2.679323564,1,2.791666667,2.670701279,2.430714286,2.5,2.90625
Popoluca,154,KA,9,3,9,3,9,9,9,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.532258065,3,2.428571429,3,2.391304348,2.913043478,2.5,3,3,3,2.763888889,3.083333333,2.451612903,2.523809524,2.21875,2.565217391,2.545454545,2.923076923,2.325,2.625,2.842105263,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,9,9,9,9,9,2.683229814,2.833333333,3.041666667,2.670701279,2.627706767,2.607750896,2.363068182
Konso,35,KA,9,2,3,4,9,4,9,2,3,3,3,9,4,9,9,9,9,3,3,9,9,9,9,9,9,9,9,9,3,9,3,3,2,0,2.532258065,2,3,4,2.391304348,4,2.5,2,3,3,3,3.083333333,4,2.523809524,2.21875,2.565217391,2.545454545,3,3,2.625,2.842105263,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,9,9,9,3.5,9,3.347826087,2.5,3.041666667,2.696342305,2.627706767,3.5,2.588068182
Bribri,157,DG,9,2,2,9,9,9,9,9,9,2,3,2,3,9,9,9,2,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.532258065,2,2,2.984375,2.391304348,2.913043478,2.5,2.5,2.689655172,2,3,2,3,2.523809524,2.21875,2.565217391,2,2.923076923,2,2,2.842105263,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,2,9,9,3,9,2.572180707,2.563218391,2,2.670701279,2.627706767,3,2.072916667
Tallensi,23,DG,1,2,4,9,1,3,3,9,2,4,2,3,9,3,9,9,9,9,9,1,9,2,9,2,2,9,9,9,4,1,3,9,2,0,1,2,4,2.984375,1,3,3,2.5,2,4,2,3,2.451612903,3,2.21875,2.565217391,2.545454545,2.923076923,2.325,1,2.842105263,2,2.142857143,2,2,1.5,2.764705882,2.9375,9,9,3.5,9,9,9,9,2.74609375,2.5,3.5,2.829431438,2.196992481,2.225806452,2.363068182
Russians,54,DG,4,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9,9,2,2,1,1,9,2,9,9,9,2,0,4,2.6,1,2.984375,2.391304348,2.913043478,2.5,2.5,2.689655172,3.171875,2.763888889,3.083333333,2.451612903,2.523809524,2.21875,2.565217391,2.545454545,2.923076923,2.325,2,2.842105263,2.875,2.142857143,2,2,1,1,2.9375,9,9,9,9,9,9,9,2.322180707,2.563218391,3.127604167,2.670701279,2.371992481,2.607750896,2.363068182
Trukese,109,DG,3,9,4,4,3,9,3,9,3,3,9,3,3,2,9,2,9,9,9,3,9,3,9,4,9,9,9,9,9,9,9,9,2,0,3,2.6,4,4,3,2.913043478,3,2.5,3,3,2.763888889,3,3,2,2.21875,2,2.545454545,2.923076923,2.325,3,2.842105263,3,2.142857143,4,3.1,1.5,2.764705882,2.9375,9,9,3,9,9,9,9,3.47826087,2.833333333,3,2.307692308,3.016992481,2.881944444,2.363068182
Toraja,87,DG,1,9,1,1,9,9,1,9,1,9,3,1,3,1,9,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,2,0,1,2.6,1,1,2.391304348,2.913043478,1,2.5,1,3.171875,3,1,3,1,2.21875,1,2.545454545,2.923076923,2.325,1,2.842105263,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,9,9,9,3,9,1.826086957,1.5,2.0859375,1.641025641,2.627706767,3,2.363068182
Pawnee,142,KA,3,3,9,3,9,3,4,9,9,4,3,9,9,3,3,2,3,2,2,9,9,9,9,9,9,9,9,9,3,9,9,9,2,0,3,3,2.428571429,3,2.391304348,3,4,2.5,2.689655172,4,3,3.083333333,2.451612903,3,3,2,3,2,2,2.625,2.842105263,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,9,2.333333333,9,9,2.666666667,2.704968944,3.063218391,3.541666667,2.333333333,2.627706767,2.725806452,2.666666667
Rhade,74,KA,9,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.532258065,4,2,2.984375,2.391304348,2.913043478,2.5,2.5,2.689655172,3.171875,2.763888889,3.083333333,2.451612903,2.523809524,2.21875,2.565217391,2.545454545,2.923076923,2.325,2.625,2.842105263,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,9,9,9,9,9,2.572180707,2.563218391,3.127604167,2.670701279,2.627706767,2.607750896,2.363068182
Burmese,71,KA,9,2,9,2,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.532258065,2,2.428571429,2,2.391304348,2.913043478,2.5,2.5,2.689655172,4,2.763888889,3.083333333,2.451612903,2.523809524,2.21875,2.565217391,2.545454545,2.923076923,2.325,2.625,2.842105263,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,9,9,9,9,9,2.433229814,2.563218391,3.541666667,2.670701279,2.627706767,2.607750896,2.363068182
Timbira,176,KA,9,2,2,9,9,2,9,9,9,3,3,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,0,2.532258065,2,2,2.984375,2.391304348,2,2.5,2.5,2.689655172,3,3,3.083333333,2,2.523809524,2.21875,2.565217391,2.545454545,2.923076923,2.325,2.625,2.842105263,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,9,9,9,2.5,9,2.343919837,2.563218391,3.041666667,2.670701279,2.627706767,2.5,2.363068182
Basseri,58,KA,2,3,3,4,4,9,9,4,3,9,9,9,9,9,9,1,1,9,9,4,4,9,9,9,9,9,9,9,9,1,1,3,2,0,2,3,3,4,4,2.913043478,2.5,4,3,3.171875,2.763888889,3.083333333,2.451612903,2.523809524,2.21875,1,1,2.923076923,2.325,4,4,2.875,2.142857143,2.178571429,3.1,1.5,2.764705882,2.9375,9,9,9,9,9,9,9,3.47826087,3.166666667,3.127604167,2.148962149,2.859285714,2.607750896,1.847916667
Havasupai,150,KA,2,9,2,4,9,3,9,3,3,3,4,9,9,9,9,2,3,9,9,9,2,9,9,9,9,9,4,4,4,9,9,9,2,0,2,2.6,2,4,2.391304348,3,2.5,3,3,3,4,3.083333333,2.451612903,2.523809524,2.21875,2,3,2.923076923,2.325,2.625,2,2.875,2.142857143,2.178571429,3.1,1.5,4,4,9,9,9,9,9,9,9,2.847826087,2.833333333,3.041666667,2.482295482,2.459285714,3.225806452,2.514583333
